iter	Passed	Remaining
672	2038	990
673	2039	986
674	2040	982
675	2046	980
676	2048	977
677	2050	973
678	2051	969
679	2053	966
680	2054	962
681	2056	958
682	2061	956
683	2062	952
684	2064	949
685	2065	945
686	2067	941
687	2068	937
688	2069	934
689	2071	930
690	2075	927
691	2076	924
692	2078	920
693	2079	917
694	2081	913
695	2082	909
696	2084	905
697	2085	902
698	2091	900
699	2093	897
700	2094	893
701	2096	889
702	2097	886
703	2098	882
704	2100	878
705	2101	875
706	2106	873
707	2108	869
708	2109	865
709	2111	862
710	2112	858
711	2114	855
712	2115	851
713	2116	847
714	2119	845
715	2121	841
716	2123	838
717	2124	834
718	2126	831
719	2128	827
720	2129	824
721	2131	820
722	2137	818
723	2138	815
724	2140	811
725	2141	808
726	2143	804
727	2144	801
728	2145	797
729	2147	794
730	2152	792
731	2154	788
732	2155	785
733	2157	781
734	2158	778
735	2159	774
736	2161	771
737	2163	768
738	2167	765
739	2169	762
740	2170	758
741	2171	755
742	2173	751
743	2174	748
744	2175	744
745	2177	741
746	2182	739
747	2184	735
748	2185	732
749	2187	729
750	2188	725
751	2190	722
752	2196	720
753	2198	717
754	2200	713
755	2201	710
756	2203	707
757	2204	703
758	2206	700
759	2207	697
760	2211	694
761	2213	691
762	2215	688
763	2217	685
764	2219	681
765	2222	678
766	2227	676
767	2229	673
768	2231	670
769	2232	666
770	2234	663
771	2236	660
772	2237	657
773	2242	654
774	2244	651
775	2245	648
776	2248	645
777	2250	642
778	2255	639
779	2257	636
780	2259	633
781	2261	630
782	2263	627
783	2265	624
784	2271	622
785	2273	618
786	2275	615
787	2277	612
788	2279	609
789	2281	606
790	2285	603
791	2286	600
792	2289	597
793	2291	594
794	2292	591
795	2296	588
796	2299	585
797	2301	582
798	2304	579
799	2306	576
800	2314	574
801	2316	571
802	2318	568
803	2319	565
804	2320	562
805	2322	558
806	2323	555
807	2325	552
808	2329	550
809	2331	546
810	2332	543
811	2333	540
812	2335	537
813	2336	533
814	2338	530
815	2343	528
816	2345	525
817	2347	522
818	2349	519
819	2350	516
820	2352	512
821	2354	509
822	2360	507
823	2362	504
824	2364	501
825	2366	498
826	2368	495
827	2370	492
828	2373	489
829	2375	486
830	2376	483
831	2378	480
832	2379	477
833	2381	473
834	2382	470
835	2387	468
836	2389	465
837	2390	462
838	2392	459
839	2393	455
840	2394	452
841	2396	449
842	2397	446
843	2401	443
844	2403	440
845	2405	437
846	2407	434
847	2409	431
848	2410	428
849	2412	425
850	2417	423
851	2419	420
852	2420	417
853	2422	414
854	2423	411
855	2425	407
856	2426	404
857	2427	401
858	2433	399
859	2435	396
860	2436	393
861	2438	390
862	2439	387
863	2441	384
864	2442	381
865	2448	378
866	2450	375
867	2451	372
868	2453	369
869	2454	366
870	2456	363
871	2457	360
872	2458	357
873	2462	355
874	2464	352
875	2465	349
876	2467	346
877	2468	343
878	2470	340
879	2471	337
880	2474	334
881	2476	331
882	2478	328
883	2479	325
884	2480	322
885	2482	319
886	2483	316
887	2485	313
888	2486	310
889	2490	307
890	2492	304
891	2493	301
892	2495	299
893	2497	296
894	2499	293
895	2501	290
896	2506	287
897	2508	284
898	2509	281
899	2511	279
900	2512	276
901	2513	273
902	2515	270
903	2516	267
904	2523	264
905	2524	261
906	2526	259
907	2528	256
908	2529	253
909	2530	250
910	2532	247
911	2537	244
912	2539	241
913	2541	239
914	2542	236
915	2544	233
916	2545	230
917	2547	227
918	2552	224
919	2554	222
920	2555	219
921	2557	216
922	2558	213
923	2560	210
924	2561	207
925	2562	204
926	2566	202
927	2568	199
928	2569	196
929	2571	193
930	2572	190
931	2574	187
932	2575	184
933	2577	182
934	2582	179
935	2584	176
936	2585	173
937	2587	171
938	2588	168
939	2589	165
940	2591	162
941	2592	159
942	2597	157
943	2600	154
944	2601	151
945	2603	148
946	2605	145
947	2607	143
948	2611	140
949	2613	137
950	2614	134
951	2616	131
952	2617	129
953	2618	126
954	2620	123
955	2621	120
956	2622	117
957	2628	115
958	2630	112
959	2632	109
960	2633	106
961	2635	104
962	2636	101
963	2637	98
964	2642	95
965	2644	93
966	2645	90
967	2647	87
968	2648	84
969	2650	81
970	2651	79
971	2653	76
972	2656	73
973	2658	70
974	2660	68
975	2661	65
976	2663	62
977	2664	59
978	2666	57
979	2668	54
980	2672	51
981	2674	49
982	2676	46
983	2677	43
984	2678	40
985	2680	38
986	2681	35
987	2683	32
988	2688	29
989	2690	27
990	2691	24
991	2693	21
992	2694	18
993	2696	16
994	2698	13
995	2703	10
996	2704	8
997	2706	5
998	2707	2
999	2709	0
